date,tenor,open,settle,contract_id,delivery
2017-11-21,1,50.880001,50.880001,CLZ26.NYM,2026-12
2017-11-22,1,50.830002,50.830002,CLZ26.NYM,2026-12
2017-11-24,1,51.049999,51.049999,CLZ26.NYM,2026-12
2017-11-27,1,51.599998,51.599998,CLZ26.NYM,2026-12
2017-11-28,1,51.750000,51.750000,CLZ26.NYM,2026-12
2017-11-29,1,51.990002,51.990002,CLZ26.NYM,2026-12
2017-11-30,1,51.980000,51.980000,CLZ26.NYM,2026-12
2017-12-01,1,51.830002,51.830002,CLZ26.NYM,2026-12
2017-12-04,1,51.980000,51.980000,CLZ26.NYM,2026-12
2017-12-05,1,52.080002,52.080002,CLZ26.NYM,2026-12
2017-12-06,1,51.740002,51.740002,CLZ26.NYM,2026-12
2017-12-07,1,52.209999,52.209999,CLZ26.NYM,2026-12
2017-12-08,1,52.209999,52.209999,CLZ26.NYM,2026-12
2017-12-11,1,52.299999,52.299999,CLZ26.NYM,2026-12
2017-12-12,1,51.950001,51.950001,CLZ26.NYM,2026-12
2017-12-13,1,50.919998,50.919998,CLZ26.NYM,2026-12
2017-12-14,1,51.020000,51.020000,CLZ26.NYM,2026-12
2017-12-15,1,50.669998,50.669998,CLZ26.NYM,2026-12
2017-12-18,1,51.320000,51.320000,CLZ26.NYM,2026-12
2017-12-19,1,51.810001,51.810001,CLZ26.NYM,2026-12
2017-12-20,1,51.680000,51.680000,CLZ26.NYM,2026-12
2017-12-21,1,51.759998,51.759998,CLZ26.NYM,2026-12
2017-12-22,1,52.119999,52.119999,CLZ26.NYM,2026-12
2017-12-26,1,52.500000,52.500000,CLZ26.NYM,2026-12
2017-12-27,1,52.840000,52.840000,CLZ26.NYM,2026-12
2017-12-28,1,52.970001,52.970001,CLZ26.NYM,2026-12
2017-12-29,1,52.740002,52.740002,CLZ26.NYM,2026-12
2018-01-02,1,52.560001,52.560001,CLZ26.NYM,2026-12
2018-01-03,1,52.650002,52.650002,CLZ26.NYM,2026-12
2018-01-04,1,52.700001,52.700001,CLZ26.NYM,2026-12
2018-01-05,1,53.009998,53.009998,CLZ26.NYM,2026-12
2018-01-08,1,53.470001,53.470001,CLZ26.NYM,2026-12
2018-01-09,1,53.840000,53.840000,CLZ26.NYM,2026-12
2018-01-10,1,53.599998,53.599998,CLZ26.NYM,2026-12
2018-01-11,1,53.700001,53.700001,CLZ26.NYM,2026-12
2018-01-12,1,53.790001,53.790001,CLZ26.NYM,2026-12
2018-01-16,1,53.849998,53.849998,CLZ26.NYM,2026-12
2018-01-17,1,54.130001,54.130001,CLZ26.NYM,2026-12
